venue_type,frequency,lift_naive,lift_calibrated
bar,0.0,0.0,0.0
bar,0.25,0.012887076549645722,0.015524387302538821
bar,0.5,0.10252733776161753,0.12350932303209766
bar,0.75,0.34092017901328164,0.41068871422188835
bar,1.0,0.7855191244527854,0.9462738173842442
bar,1.25,1.4666309719148238,1.7667736472420184
bar,1.5,2.3780579700024815,2.864722096744484
bar,1.75,3.477033910966247,4.188600951500146
bar,2.0,4.695124676099255,5.655971206865823
bar,2.25,5.955605590563401,7.174406658709062
bar,2.5,7.18980651120893,8.661183976081162
bar,2.75,8.346976939141365,10.05516668651688
bar,3.0,9.39669869928106,11.319711604949864
bar,3.25,10.326119687197584,12.439336473161035
bar,3.5,11.135034634883901,13.413794015515009
bar,3.75,11.830996332095118,14.252182682922765
bar,4.0,12.425475798760147,14.968321013316116
bar,4.25,12.931265973018476,15.577619990377036
bar,4.5,13.360930963040259,16.09521493828809
bar,4.75,13.725998973507085,16.534993282462676
bar,5.0,14.036628397131103,16.909192307456923
bar,5.25,14.30154796413384,17.228327058176195
bar,5.5,14.528139961703346,17.501290590003872
bar,5.75,14.722587003073423,17.735530773837098
bar,6.0,14.890037393568065,17.937249503914142
bar,6.25,15.034765668361116,18.111596089259546
bar,6.5,15.160317522872354,18.26284184375443
bar,6.75,15.269635386331727,18.394531358043533
bar,7.0,15.36516454731139,18.50961034341478
bar,7.25,15.44894146081207,18.610532010728978
bar,7.5,15.52266652181515,18.699344736912913
bar,7.75,15.58776369099162,18.777763892933383
bar,8.0,15.64542919397679,18.8472305092671
bar,8.25,15.696671244459292,18.908959128229053
bar,8.5,15.742342445749113,18.963976836447358
bar,8.75,15.78316624540491,19.01315513336958
bar,9.0,15.819758569675713,19.057235993143447
bar,9.25,15.852645553601361,19.096853223141835
bar,9.5,15.882278107348611,19.132550011266233
bar,9.75,15.909043915899824,19.1647933813443
bar,10.0,15.933277352919443,19.19398613584645
bar,10.25,15.955267695928997,19.220476752277637
bar,10.5,15.975265954707528,19.24456760899431
bar,10.75,15.99349056457053,19.266521843599886
bar,11.0,16.01013214792576,19.286569088942056
