venue_type,covariate,treated_mean,holdout_mean,p_value,n_treated,n_holdout
bar,baseline_level,298.97392597934913,342.7842050163484,0.06810271049763394,17,19
bar,dwell_time_min,71.65589771404436,67.4456814176399,0.4769168855915485,17,19
bar,screen_count,1.7647058823529411,1.894736842105263,0.6617975034392275,17,19
bar,audience_quality,0.6023984470120286,0.5966571998125689,0.9019006052782677,17,19
gym,baseline_level,267.96131999693716,285.7752535519653,0.4129695451000869,15,17
gym,dwell_time_min,54.01953780695676,50.07443778186601,0.4701410610661309,15,17
gym,screen_count,1.7333333333333334,1.5294117647058822,0.5014268528168502,15,17
gym,audience_quality,0.7107611750827976,0.5383086757592127,0.008150810183514072,15,17
restaurant,baseline_level,419.55916897110325,406.4222826871039,0.5971265790476434,18,17
restaurant,dwell_time_min,35.98746218315489,40.31710991353278,0.11021393299213118,18,17
restaurant,screen_count,2.2777777777777777,1.6470588235294117,0.020379739957139934,18,17
restaurant,audience_quality,0.5851787767603337,0.614336542778334,0.6039966754152345,18,17
waiting_room,baseline_level,156.7931494133356,143.8172861525626,0.3528341255544156,17,16
waiting_room,dwell_time_min,24.16771220919696,20.742758558658554,0.06397937455698521,17,16
waiting_room,screen_count,2.0,2.3125,0.2876747195249555,17,16
waiting_room,audience_quality,0.5840698891783269,0.568522062260086,0.7515876638122992,17,16
