venue_id,venue_type,geo_cluster,value_metric,churn_risk_oof,priority_quadrant
0,restaurant,2,349.2879018274135,0.20325581731794493,"Save now (high value, high risk)"
1,restaurant,8,292.6087213888252,0.0750400163548159,"Protect (high value, low risk)"
2,restaurant,15,424.0335544093256,0.05106076847612141,"Protect (high value, low risk)"
3,restaurant,16,399.01531263542216,0.3317699687231555,"Save now (high value, high risk)"
4,restaurant,0,191.07355333705704,0.12159608838046028,"Monitor (low value, low risk)"
5,restaurant,16,315.40718354193285,0.4256985751889979,"Save now (high value, high risk)"
6,restaurant,9,263.4136630493956,0.12324085411804624,"Protect (high value, low risk)"
7,restaurant,4,192.8690429946376,0.12159608838046028,"Monitor (low value, low risk)"
8,restaurant,12,470.00480801322806,0.1407806299399313,"Save now (high value, high risk)"
9,restaurant,14,263.90177201973955,0.12159608838046028,"Protect (high value, low risk)"
10,restaurant,14,297.0752659205427,0.20857148934648792,"Save now (high value, high risk)"
11,restaurant,18,286.95103723448176,0.16964982312750948,"Save now (high value, high risk)"
12,restaurant,14,277.1092342035127,0.518023410424601,"Save now (high value, high risk)"
13,restaurant,18,392.8433408153715,0.10486031037018714,"Protect (high value, low risk)"
14,restaurant,6,457.5684329454075,0.2882213229409136,"Save now (high value, high risk)"
15,restaurant,14,461.3339880351388,0.3219499443949774,"Save now (high value, high risk)"
16,restaurant,16,311.2484385996032,0.13100767845342032,"Save now (high value, high risk)"
17,restaurant,18,265.9149770593465,0.12159608838046028,"Protect (high value, low risk)"
18,restaurant,8,404.26264864795655,0.12591304205951812,"Save now (high value, high risk)"
19,restaurant,9,179.54570353676166,0.2702076817802491,"Low priority (low value, high risk)"
20,restaurant,4,259.0479501870607,0.483175438013966,"Save now (high value, high risk)"
21,restaurant,13,374.5316703714929,0.26488114728524653,"Save now (high value, high risk)"
22,restaurant,16,372.0540685342994,0.09086489339391902,"Protect (high value, low risk)"
23,restaurant,0,146.7670057554707,0.08416103158197553,"Monitor (low value, low risk)"
24,restaurant,11,349.78105012167936,0.1433906309258529,"Save now (high value, high risk)"
25,restaurant,1,363.7412330618008,0.057147495575591574,"Protect (high value, low risk)"
26,restaurant,16,334.3307566773044,0.15199204912445136,"Save now (high value, high risk)"
27,restaurant,2,188.72616585737876,0.08027439875488045,"Monitor (low value, low risk)"
28,restaurant,9,211.88919738091352,0.14051127136189806,"Low priority (low value, high risk)"
29,restaurant,13,278.02750598061294,0.12159608838046028,"Protect (high value, low risk)"
30,restaurant,3,251.3784380047028,0.07370925376609204,"Protect (high value, low risk)"
31,restaurant,7,263.15475210022265,0.11208675391938057,"Protect (high value, low risk)"
32,restaurant,15,253.97913387505037,0.08146590758378972,"Protect (high value, low risk)"
33,restaurant,16,377.5851204077194,0.23562212330813617,"Save now (high value, high risk)"
34,restaurant,12,207.57288654938984,0.35136764647014995,"Low priority (low value, high risk)"
35,restaurant,0,170.418963352423,0.12159608838046028,"Monitor (low value, low risk)"
36,restaurant,7,197.08072427940544,0.07604457025597253,"Monitor (low value, low risk)"
37,restaurant,3,168.8545771286377,0.05901483908134059,"Monitor (low value, low risk)"
38,restaurant,16,349.24161537896543,0.45423326613196247,"Save now (high value, high risk)"
39,restaurant,7,259.4393368388469,0.11791812431772362,"Protect (high value, low risk)"
40,restaurant,0,251.54662081399857,0.35032537998861335,"Save now (high value, high risk)"
41,restaurant,13,161.02947703245164,0.2615186273523293,"Low priority (low value, high risk)"
42,restaurant,4,212.2749660142358,0.09240419132591483,"Monitor (low value, low risk)"
43,restaurant,6,228.89425745290183,0.09913077225234442,"Protect (high value, low risk)"
44,restaurant,18,498.1524071546421,0.12321619982992914,"Protect (high value, low risk)"
45,restaurant,12,312.35105121916405,0.13209385078341745,"Save now (high value, high risk)"
46,restaurant,8,313.21345415723425,0.1727936056397679,"Save now (high value, high risk)"
47,restaurant,10,187.23581905524188,0.3399206609242345,"Low priority (low value, high risk)"
48,restaurant,8,477.1255657604106,0.0989006324622336,"Protect (high value, low risk)"
49,restaurant,14,382.9674394330424,0.47694356168513163,"Save now (high value, high risk)"
50,restaurant,5,277.65024900360845,0.2124395840145269,"Save now (high value, high risk)"
51,restaurant,17,361.19617482041326,0.23975571572471333,"Save now (high value, high risk)"
52,restaurant,15,353.2935389065116,0.4171565850407226,"Save now (high value, high risk)"
53,restaurant,10,331.6259106213751,0.2780709623452026,"Save now (high value, high risk)"
54,restaurant,1,575.8584217846519,0.14211096497471337,"Save now (high value, high risk)"
