venue_id,venue_type,geo_cluster,traffic_tier,tenure_months,churned_next_quarter,competitive_pressure_market,relationship_execution_gap,churn_risk_oof
0,restaurant,2,high,11.0,False,False,False,0.20325581731794493
1,restaurant,8,low,32.0,False,False,False,0.0750400163548159
2,restaurant,15,high,2.0,False,False,False,0.05106076847612141
3,restaurant,16,high,6.0,False,True,False,0.3317699687231555
4,restaurant,0,low,37.0,False,False,False,0.12159608838046028
5,restaurant,16,low,3.0,True,True,True,0.4256985751889979
6,restaurant,9,high,14.0,False,False,False,0.12324085411804624
7,restaurant,4,low,38.0,False,False,False,0.12159608838046028
8,restaurant,12,high,40.0,False,True,False,0.1407806299399313
9,restaurant,14,low,15.0,True,True,False,0.12159608838046028
10,restaurant,14,low,22.0,False,True,False,0.20857148934648792
11,restaurant,18,high,5.0,False,False,False,0.16964982312750948
12,restaurant,14,low,36.0,True,True,True,0.518023410424601
13,restaurant,18,low,21.0,True,False,False,0.10486031037018714
14,restaurant,6,high,31.0,False,False,True,0.2882213229409136
15,restaurant,14,low,3.0,False,True,False,0.3219499443949774
16,restaurant,16,low,4.0,True,True,False,0.13100767845342032
17,restaurant,18,low,12.0,False,False,False,0.12159608838046028
18,restaurant,8,high,26.0,False,False,False,0.12591304205951812
19,restaurant,9,low,43.0,False,False,False,0.2702076817802491
20,restaurant,4,low,19.0,False,False,True,0.483175438013966
21,restaurant,13,high,19.0,False,False,False,0.26488114728524653
22,restaurant,16,high,6.0,False,True,False,0.09086489339391902
23,restaurant,0,high,22.0,False,False,False,0.08416103158197553
24,restaurant,11,high,35.0,False,False,False,0.1433906309258529
25,restaurant,1,high,5.0,False,False,False,0.057147495575591574
26,restaurant,16,low,42.0,True,True,False,0.15199204912445136
27,restaurant,2,high,31.0,True,False,False,0.08027439875488045
28,restaurant,9,low,37.0,False,False,False,0.14051127136189806
29,restaurant,13,low,7.0,False,False,False,0.12159608838046028
30,restaurant,3,high,3.0,False,False,False,0.07370925376609204
31,restaurant,7,high,38.0,True,False,False,0.11208675391938057
32,restaurant,15,low,45.0,False,False,False,0.08146590758378972
33,restaurant,16,low,7.0,True,True,False,0.23562212330813617
34,restaurant,12,low,47.0,True,True,False,0.35136764647014995
35,restaurant,0,low,30.0,False,False,False,0.12159608838046028
36,restaurant,7,high,40.0,True,False,False,0.07604457025597253
37,restaurant,3,high,45.0,False,False,False,0.05901483908134059
38,restaurant,16,low,17.0,True,True,True,0.45423326613196247
39,restaurant,7,low,34.0,False,False,False,0.11791812431772362
40,restaurant,0,high,35.0,False,False,False,0.35032537998861335
41,restaurant,13,low,3.0,False,False,True,0.2615186273523293
42,restaurant,4,high,37.0,False,False,False,0.09240419132591483
43,restaurant,6,low,31.0,False,False,False,0.09913077225234442
44,restaurant,18,high,3.0,False,False,False,0.12321619982992914
45,restaurant,12,low,31.0,False,True,False,0.13209385078341745
46,restaurant,8,low,29.0,False,False,False,0.1727936056397679
47,restaurant,10,low,43.0,False,False,True,0.3399206609242345
48,restaurant,8,high,6.0,False,False,False,0.0989006324622336
49,restaurant,14,low,27.0,True,True,True,0.47694356168513163
50,restaurant,5,low,48.0,False,False,False,0.2124395840145269
51,restaurant,17,high,11.0,False,False,False,0.23975571572471333
52,restaurant,15,high,36.0,False,False,True,0.4171565850407226
53,restaurant,10,high,16.0,False,False,True,0.2780709623452026
54,restaurant,1,high,15.0,False,False,False,0.14211096497471337
